Participant,Condition,RT
1,Very Easy,12.5
2,Very Easy,11.627906976744185
3,Very Easy,11.235955056179774
4,Very Easy,13.333333333333334
5,Very Easy,11.627906976744185
6,Very Easy,11.494252873563218
7,Very Easy,12.195121951219512
8,Very Easy,12.195121951219512
9,Very Easy,12.195121951219512
10,Very Easy,12.345679012345679
11,Very Easy,12.048192771084338
12,Very Easy,12.345679012345679
13,Very Easy,12.345679012345679
14,Very Easy,11.76470588235294
15,Very Easy,11.363636363636363
16,Very Easy,11.904761904761903
17,Very Easy,12.195121951219512
18,Very Easy,12.345679012345679
19,Very Easy,12.345679012345679
20,Very Easy,10.638297872340425
21,Very Easy,11.76470588235294
22,Very Easy,12.048192771084338
23,Very Easy,12.048192771084338
24,Very Easy,11.627906976744185
25,Very Easy,12.195121951219512
26,Very Easy,12.658227848101266
27,Very Easy,11.494252873563218
28,Very Easy,12.5
29,Very Easy,11.904761904761903
30,Very Easy,12.345679012345679
31,Very Easy,11.235955056179774
32,Very Easy,12.048192771084338
1,Easy,12.345679012345679
2,Easy,12.345679012345679
3,Easy,12.987012987012989
4,Easy,12.658227848101266
5,Easy,13.333333333333334
6,Easy,12.82051282051282
7,Easy,12.195121951219512
8,Easy,12.195121951219512
9,Easy,11.235955056179774
10,Easy,12.658227848101266
11,Easy,12.5
12,Easy,12.195121951219512
13,Easy,12.5
14,Easy,12.5
15,Easy,12.658227848101266
16,Easy,12.82051282051282
17,Easy,12.345679012345679
18,Easy,12.195121951219512
19,Easy,13.157894736842104
20,Easy,12.345679012345679
21,Easy,12.658227848101266
22,Easy,12.658227848101266
23,Easy,12.048192771084338
24,Easy,11.627906976744185
25,Easy,11.11111111111111
26,Easy,12.5
27,Easy,11.11111111111111
28,Easy,12.658227848101266
29,Easy,11.627906976744185
30,Easy,10.638297872340425
31,Easy,12.048192771084338
32,Easy,12.345679012345679
1,Hard,14.084507042253522
2,Hard,11.904761904761903
3,Hard,15.625
4,Hard,12.345679012345679
5,Hard,12.345679012345679
6,Hard,13.513513513513514
7,Hard,13.888888888888888
8,Hard,14.705882352941176
9,Hard,14.492753623188406
10,Hard,13.157894736842104
11,Hard,11.627906976744185
12,Hard,14.285714285714285
13,Hard,16.129032258064516
14,Hard,15.151515151515152
15,Hard,13.698630136986301
16,Hard,14.492753623188406
17,Hard,14.285714285714285
18,Hard,14.285714285714285
19,Hard,16.129032258064516
20,Hard,14.285714285714285
21,Hard,12.987012987012989
22,Hard,13.157894736842104
23,Hard,13.333333333333334
24,Hard,14.492753623188406
25,Hard,14.285714285714285
26,Hard,15.873015873015872
27,Hard,14.084507042253522
28,Hard,13.698630136986301
29,Hard,12.048192771084338
30,Hard,12.658227848101266
31,Hard,14.705882352941176
32,Hard,13.513513513513514
1,Very Hard,21.27659574468085
2,Very Hard,16.949152542372882
3,Very Hard,16.949152542372882
4,Very Hard,15.151515151515152
5,Very Hard,17.857142857142858
6,Very Hard,19.607843137254903
7,Very Hard,18.51851851851852
8,Very Hard,20
9,Very Hard,20.408163265306122
10,Very Hard,18.18181818181818
11,Very Hard,20.833333333333332
12,Very Hard,18.18181818181818
13,Very Hard,17.857142857142858
14,Very Hard,18.867924528301884
15,Very Hard,19.230769230769234
16,Very Hard,20
17,Very Hard,21.27659574468085
18,Very Hard,16.949152542372882
19,Very Hard,18.51851851851852
20,Very Hard,17.241379310344826
21,Very Hard,21.73913043478261
22,Very Hard,18.18181818181818
23,Very Hard,17.241379310344826
24,Very Hard,18.867924528301884
25,Very Hard,19.230769230769234
26,Very Hard,20.408163265306122
27,Very Hard,15.151515151515152
28,Very Hard,17.241379310344826
29,Very Hard,15.625
30,Very Hard,18.51851851851852
31,Very Hard,20
32,Very Hard,22.727272727272727
